,Video Title,Links,Channel Name,Duration,Views,Likes,No. of Comments,Days since Upload
0,INDIAN BUDGET EXPLAINED IN 10 MINUTES | Budget 2023 explained | Abhi and Niyu,https://www.youtube.com/watch?v=-ANjtUiYbZ8,Abhi and Niyu,16:28,"3,540,643",231K,5995,20
1,Budget 2023 Analysis | Best Budget Ever? | Dhruv Rathee,https://www.youtube.com/watch?v=vb1GIHNY4OE,Dhruv Rathee,16:50,"3,156,005",171K,10126,14
2,Union Budget 2023-24 | Complete Analysis & Highlights | UPSC Economy #Budget Economic Survey #UPSC,https://www.youtube.com/watch?v=YSWc2fGfTAs,StudyIQ IAS,17:49,"1,945,077",30K,556,20
3,Finance Minister Nirmala Sitharaman presents Union Budget 2023 | PMO,https://www.youtube.com/watch?v=exht0WpKFTo,PMO India,1:04:05,"12,756",791,-1,20
4,Budget 2023 | दुनिया का सबसे आसान Analysis | Nirmala Sitharaman | Narendra Modi | Dr Vivek Bindra,https://www.youtube.com/watch?v=DHRjUbXUFu8,Dr. Vivek Bindra: Motivational Speaker,3:22:40,"911,715",43K,1294,20
5,India's Budget 2023 | Defence Budget | ISRO Budget | Income Tax Budget 2023,https://www.youtube.com/watch?v=BHIGZqRap0Q,World Affairs,17:21,"1,179,192",69K,3320,19
6,India Budget 2023: Finance Minister Nirmala Sitharaman lays out budget 2023 priorities,https://www.youtube.com/watch?v=ybd9O_7PjL8,WION,57:06,"7,025",73,4,20
7,Budget 2023 EXPLAINED in 20 mins in SIMPLE WORDS : Economic case study,https://www.youtube.com/watch?v=iw5AdKOM-IU,Think School,27:40,"738,722",37K,1775,13
8,FM Nirmala Sitharaman FULL Speech On Union Budget 2023-24 | Indian Budget 2023 | PM Modi | YOYO TV,https://www.youtube.com/watch?v=4eGj6pau2cI,YOYO TV Channel,3:57,"15,735",313,8,20
9,"Gravitas: Italian woman strips mid-air, punches Vistara crew",https://www.youtube.com/watch?v=9Jn1px9Vhag,asianetnews,52:48,"221,087",1.3K,360,21
10,ETGBS 2023 | India is investing both in Bricks and Clicks: Ashwini Vaishnaw,https://www.youtube.com/watch?v=cG6PBzkWY-I,WION,38:01,"9,779",264,38,3
11,Union Budget 2023-24 | To The Point | UPSC Current Affairs | Drishti IAS,https://www.youtube.com/watch?v=ajuAoIB_hVw,The Economic Times,5:05,"32,686",1.9K,200,20
12,India Budget 2023 live: Budget's impact on people's pocket and nation's positioning | WION Live,https://www.youtube.com/watch?v=yagtUR8J4ew,India Today,7:51:21,"55,328",442,8,20
13,India's Budget 2023 | Highlights | Vantage with Palki Sharma,https://www.youtube.com/watch?v=vxRbv4uRpX0,Drishti IAS,1:35:10,"33,655",1K,82,20
14,Highlights of the Union Budget 2023 | The Hindu,https://www.youtube.com/watch?v=6YZsU_3oTP8,WION,15:57,"118,823",2K,96,20
15,Union Budget 2023 Complete Analysis & Highlights | FM Nirmala Sitaraman | UPSC Economy | UPSC 2023,https://www.youtube.com/watch?v=bPcsbq5B_bM,Firstpost,57:06,"50,060",4.8K,366,20
16,Budget 2023-24 | जानिए क्या रही खास बातें ? Analysis by Ankit Avasthi,https://www.youtube.com/watch?v=wcYFukPn0U0,The Hindu,55:06,"1,077,701",65K,2679,20
17,Budget 2023 | बजट का सार | Complete Information | Kumar Gaurav Sir | Utkarsh Classes,https://www.youtube.com/watch?v=XXRjZdypGDk,StudY LoveR- VeeR,1:55:11,"1,321,715",99K,1724,20
18,Watch Union Budget 2023-24 #AmritKaalBudget,https://www.youtube.com/watch?v=6jkfJehLcGg,wifistudy 2.0,1:55:11,"22,692",Like,-1,20
19,Union Budget 2023 LIVE: महंगाई से राहत या बजट से बढ़ेगा संकट?। India Budget 2023 | आम बजट,https://www.youtube.com/watch?v=MT7joGf1sVM,UTKARSH CLASSES JODHPUR,18:53,"144,457",963,12,20
20,🔴LIVE: Budget 2023 की सबसे बड़ी बातें | Union Budget Updates | Nirmala Sitharaman | Aaj Tak LIVE,https://www.youtube.com/watch?v=-PhYLiPU_wE,Bharatiya Janata Party,2:40,"193,425",1K,11,19
21,"Budget 2023: भारत का बजट, 50 बड़ी खबरें सिर्फ R.Bharat पर | Nirmala Sitharaman | Union Budget 2023",https://www.youtube.com/watch?v=1WHkt05vEPM,ABP NEWS,1:03:38,"109,766",Like,38,20
22,"Union Budget 2023: Big Relief For Middle-Class, No Income Tax Till ₹7 Lakh | CNBC-TV18",https://www.youtube.com/watch?v=St82Nm1dVHo,Aaj Tak,4:59,"56,786",334,34,20
23,Union Budget 2023 Live: FM Nirmala Sitharaman Union Budget 2023 | FM Nirmala Sitharaman Budget Live,https://www.youtube.com/watch?v=-oLs3JaLAgY,Republic Bharat,1:55:35,"44,109",566,24,20
