,Video Title,Links,Channel Name,Duration,Views,Likes,No. of Comments,Days since Upload
0,INDIAN BUDGET EXPLAINED IN 10 MINUTES | Budget 2023 explained | Abhi and Niyu,https://www.youtube.com/watch?v=-ANjtUiYbZ8,Abhi and Niyu,0:10,"3,598,577",234K,6011,30
1,Budget 2023 Analysis | Best Budget Ever? | Dhruv Rathee,https://www.youtube.com/watch?v=vb1GIHNY4OE,Dhruv Rathee,16:14,"3,266,625",174K,10229,24
2,Budget 2023 | बजट का सार | Complete Information | Kumar Gaurav Sir | Utkarsh Classes,https://www.youtube.com/watch?v=XXRjZdypGDk,UTKARSH CLASSES JODHPUR,0:20,"1,518,537",108K,1838,30
3,Union Budget 2023-24 | Complete Analysis & Highlights | UPSC Economy #Budget Economic Survey #UPSC,https://www.youtube.com/watch?v=YSWc2fGfTAs,Zee News,33:41,"1,979,951",31K,564,30
4,India's Budget 2023 | Defence Budget | ISRO Budget | Income Tax Budget 2023,https://www.youtube.com/watch?v=BHIGZqRap0Q,StudyIQ IAS,22:17,"1,190,821",69K,3312,29
5,Union Budget 2023-24: Complete Analysis - IN NEWS I Drishti IAS,https://www.youtube.com/watch?v=ItRFxkvTU8Y,World Affairs,15:33,"896,150",18K,754,30
6,Budget Highlights 2023 : All Important Questions | बजट 2023 Complete Analysis | Raja Gupta,https://www.youtube.com/watch?v=4Bx3fVv_8s0,Drishti IAS,28:47,"223,703",13K,493,30
7,Finance Minister Nirmala Sitharaman presents Union Budget 2023 | PMO,https://www.youtube.com/watch?v=exht0WpKFTo,Crazy GkTrick,1:26:55,"12,935",793,-1,30
8,Finance Minister Nirmala Sitharaman's Budget Speech | Union Budget 2023-24,https://www.youtube.com/watch?v=TYGXZtxSuEI,PMO India,1:29:10,"197,263",4.3K,239,30
9,Union Budget 2023-24 | To The Point | UPSC Current Affairs | Drishti IAS,https://www.youtube.com/watch?v=ajuAoIB_hVw,TV9 Marathi,6:35,"38,055",2.1K,209,30
10,India Budget 2023: Finance Minister Nirmala Sitharaman lays out budget 2023 priorities,https://www.youtube.com/watch?v=ybd9O_7PjL8,India Today,29:30,"7,114",72,4,30
11,Budget 2023 EXPLAINED in 20 mins in SIMPLE WORDS : Economic case study,https://www.youtube.com/watch?v=iw5AdKOM-IU,Sansad TV,20:15,"789,597",39K,1692,23
