,Video Title,Links,Channel Name,Duration,Views,Days since Upload
0,Israel-Palestine war: A simple history of how it all began | Explained | Gravitas Plus,www.youtube.com/watch?v=0anQIEeLonA&pp=ygUYaXNyYWVsIHZzIHBhbGVzdGluZSB3aW9u,WION,13:16,"1,775,352 views",7 months ago
1,Israel-Hamas War LIVE: PM Netanyahu acknowledges ‘tragic mistake’ after Rafah strike kills civilians,www.youtube.com/watch?v=DA1NWR2XLUw&pp=ygUYaXNyYWVsIHZzIHBhbGVzdGluZSB3aW9u,WION,0,0,0
2,"What is happening in Israel-Palestine War? Abhijit Iyer-Mitra Breaks it down, The Ranveer Show 359",www.youtube.com/watch?v=sUE8N74opz0&pp=ygUYaXNyYWVsIHZzIHBhbGVzdGluZSB3aW9u,BeerBiceps,56:53,"766,874 views",6 months ago
3,Israel-Hamas War: Hamas claims it has captured several Israeli soldiers | WION News,www.youtube.com/watch?v=k8fN3a1AAI0&pp=ygUYaXNyYWVsIHZzIHBhbGVzdGluZSB3aW9u,WION,2:28,"76,000 views",3 days ago
4,Israel-Hamas war: Hamas fires missiles at Tel Aviv for first time in four months | World News |WION,www.youtube.com/watch?v=hn2PrOh4KEA&pp=ygUYaXNyYWVsIHZzIHBhbGVzdGluZSB3aW9u,WION,2:30,"22,179 views",2 days ago
5,Israel Hamas war: Netanyahu says Rafah attack ‘tragic mistake’,www.youtube.com/watch?v=IQl9MrQ2oUI&pp=ygUYaXNyYWVsIHZzIHBhbGVzdGluZSB3aW9u,Channel 4 News,7:16,"145,190 views",1 day ago
6,Israel-Palestine war: Palestinian journalist walks off when questioned on Hamas | Gravitas,www.youtube.com/watch?v=92YrlM4iVIM&pp=ygUYaXNyYWVsIHZzIHBhbGVzdGluZSB3aW9u,WION,5:42,"719,203 views",7 months ago
7,Hezbollah barrages deal heavy damage in Northern Israel | Latest English News | WION,www.youtube.com/watch?v=yKcFdJpuiYE&pp=ygUYaXNyYWVsIHZzIHBhbGVzdGluZSB3aW9u,WION,2:46,"52,358 views",4 days ago
8,Gravitas Plus: The Story of Jerusalem | Palki Sharma,www.youtube.com/watch?v=Cj_Pr38vj8k&pp=ygUYaXNyYWVsIHZzIHBhbGVzdGluZSB3aW9u,WION,9:35,"2,023,386 views",3 years ago
9,Explained: Israel-Palestine and a history of conflict | World DNA | WION,www.youtube.com/watch?v=0MMBVEQbF8Y&pp=ygUYaXNyYWVsIHZzIHBhbGVzdGluZSB3aW9u,WION,2:31,"25,153 views",7 months ago
